taxonID	property	value	remarks
3096	CITES	Appendix III	
3161	CITES	Appendix III	
3199	CITES	Appendix III	
3218	CITES	Appendix III	except the subspecies included in Appendix I
3270	CITES	Appendix III	
3318	CITES	Appendix III	
3361	CITES	Appendix III	Population of Ukraine
3474	CITES	Appendix III	
3507	CITES	Appendix III	
3685	CITES	Appendix III	Formerly listed under synonym Viverra megaspila civettina
3745	CITES	Appendix III	
3747	CITES	Appendix III	
3839	CITES	Appendix III	
3868	CITES	Appendix III	
4177	CITES	Appendix III	
4209	CITES	Appendix III	
4262	CITES	Appendix III	
4277	CITES	Appendix III	Population of Ukraine
4282	CITES	Appendix III	
4357	CITES	Appendix III	
4524	CITES	Appendix III	
4546	CITES	Appendix III	
4625	CITES	Appendix III	
4655	CITES	Appendix III	
4693	CITES	Appendix III	
4880	CITES	Appendix III	
4985	CITES	Appendix III	
5018	CITES	Appendix III	
5113	CITES	Appendix III	
5218	CITES	Appendix III	
5251	CITES	Appendix III	
5264	CITES	Appendix III	
5279	CITES	Appendix III	
5310	CITES	Appendix III	Population of Ukraine
5312	CITES	Appendix III	
5347	CITES	Appendix III	
5368	CITES	Appendix III	
5686	CITES	Appendix III	
5806	CITES	Appendix III	
5825	CITES	Appendix III	
5890	CITES	Appendix III	Population of Ukraine
5891	CITES	Appendix III	
5950	CITES	Appendix III	
6000	CITES	Appendix III	
6008	CITES	Appendix III	
6035	CITES	Appendix III	
6048	CITES	Appendix III	
6090	CITES	Appendix III	
6182	CITES	Appendix III	
6235	CITES	Appendix III	
6268	CITES	Appendix III	
6497	CITES	Appendix III	
6509	CITES	Appendix III	
6586	CITES	Appendix III	
6811	CITES	Appendix III	Excludes the domestic form Bubalus bubalis.
6814	CITES	Appendix III	
6916	CITES	Appendix III	
6973	CITES	Appendix III	
7122	CITES	Appendix III	
7168	CITES	Appendix III	
7173	CITES	Appendix III	Formerly included in Martes flavigula.
7240	CITES	Appendix III	
7432	CITES	Appendix III	
7506	CITES	Appendix III	
7752	CITES	Appendix III	
7924	CITES	Appendix III	
7925	CITES	Appendix III	
