taxonID	name	language
3096	Yellow-bellied Weasel	eng
3096	Comadreja de vientre amarillo	spa
3096	Belette à ventre jaune	fra
3199	Mississippi map turtle	eng
3199	False Map Turtle	eng
3218	Ciervo porcino	spa
3218	Indochina hog deer	eng
3218	Indian hog deer	eng
3218	Cerf-cochon	fra
3218	Hog Deer	eng
3270	Ocellated Turkey	eng
3270	Dindon ocellé	fra
3270	Guajolote ocelado	spa
3270	Pavo ocelado	spa
3318	Alcaraván americano	spa
3318	Dara	spa
3318	Alcaraván venozolano	spa
3318	Oedicnème Bistrié	fra
3318	Double-striped Thick-knee	eng
3318	Alcaraván dara	spa
3318	Oedicnème américain	fra
3361	Galápago europeo	spa
3361	European Pond Terrapin	eng
3361	European Pond Turtle	eng
3361	Cistude	fra
3361	Cistude d'Europe	fra
3474	Kawekaweau	eng
3474	Delcourt's Sticky-toed Gecko	eng
3507	Jote real	spa
3507	Carcoramphe roi	fra
3507	Roi des vautours	fra
3507	Sarcoramphe roi	fra
3507	Vautour page	fra
3507	vautour pape	fra
3507	Vautour royal	fra
3507	Gallinazo rey	spa
3507	King Vulture	eng
3507	Zopilote rey	spa
3507	Rey zamuro	spa
3685	Civeta malabar	spa
3685	Civette à grandes taches	fra
3685	Malabar Large-spotted Civet	eng
3685	Malabar Civet	eng
3745	Pénélope noire	fra
3745	Pénélope pajuil	fra
3745	Black Chachalaca	eng
3745	Pava pajuil	spa
3745	Black Penelopina	eng
3745	Highland Guan	eng
3745	Little Guan	eng
3745	Black Pajuil	eng
3745	Chachalaca negra	spa
3745	Guan negro	spa
3747	paují turbante	spa
3747	Pavón moquiamarilllo	spa
3747	Pavón porú	spa
3747	Paují de copete	spa
3747	Hocco de Daubenton	fra
3747	Pavón poría	spa
3747	Yellow-knobbed Curassow	eng
3747	Daubenton's Curassow	eng
3747	Hoco de Daubenton	spa
3839	Faisan leucomèle	fra
3839	Faisán kálij	spa
3839	Kalij Pheasant	eng
3868	Serpiente acuática verde con escamas de quilla	spa
3868	Olivaceous Keelback	eng
3868	Olive keel-back	eng
3868	Split Keelback	eng
3868	Olive keelback wart snake	eng
3868	Serpent ardoisé	fra
3868	Serpent à carènes olive	fra
3868	Serpent à caréné olive	fra
3868	Olive keelback water snake	eng
3868	Split keelback snake	eng
3868	Olive Keelback	eng
4177	Serpent d'eau à museau de chien	fra
4177	Serpent d'eau à ventre blanc	fra
4177	Serpiente acuática cabeza de perro	spa
4177	New guinea bockadam	eng
4177	Dog-faced Water Snake	eng
4177	Bockadam snake	eng
4177	Bockadam	eng
4177	South asian bockadam	eng
4209	Tamandua	fra
4209	Tamandúa mexicano	spa
4209	Tamandúa	spa
4209	Oso mielero	spa
4209	Oso melero	spa
4209	Northern Tamandua	eng
4209	Tamandua	eng
4262	Pava culirroja	spa
4262	Pava cojolita	spa
4262	Grenedera	spa
4262	Penelope à crête	fra
4262	Crested Guan	eng
4262	Purple Guan	eng
4262	Purplish Guan	eng
4262	Pénélope à ventre blanc	fra
4262	Pénélope huppée	fra
4262	Pénélope panachée	fra
4277	Chardonneret élégant	fra
4277	Jilguero europeo	spa
4277	Jilguero	spa
4277	Goldfinch	eng
4277	European Goldfinch	eng
4282	Mentawai palm civet	eng
4282	Musang	eng
4282	Civette palmiste hermaphrodite	fra
4282	Common Palm Civet	eng
4282	Asian Palm Civet	eng
4282	Civeta de las palmeras común	spa
4282	Civeta de palmera común	spa
4282	musang	spa
4357	Fishing Snake	eng
4357	Common Scaled Water Snake	eng
4357	Chequered Keelback	eng
4357	Checkered keel-back	eng
4357	Asiatic Water Snake	eng
4357	Couleuvre à damier	fra
4357	Serpiente asiática de agua	spa
4357	Rice Paddy Snake	eng
4357	Serpent aquatique caréné à damier	fra
4357	Couleuvre aquatique	fra
4357	Couleuvre d'eau asiatique	fra
4357	Couleuvre pêcheuse	fra
4524	Hoco faisán	spa
4524	Great Curassow	eng
4524	Pavón grande	spa
4524	Hoco grande	spa
4524	Mexican Curassow	eng
4524	Pavón norteño	spa
4524	Grand hocco	fra
4524	Globose Curassow	eng
4655	Masked Palm Civet	eng
4655	Himalayan palm civet	eng
4655	Gem-faced civet	eng
4655	Civeta de las palmeras enmascarada	spa
4655	Civette palmiste à masque	fra
4655	Civeta de palmera enmascarada	spa
4655	paguma	spa
4693	Agouti	spa
4693	Agoutí rojizo	spa
4693	Agutí de América Central	spa
4693	Agouti	eng
4693	guatín colorado o rojizo	spa
4693	guatusa	spa
4693	Agouti ponctué	fra
4693	Agouti	fra
4693	Agutí centroamericano	spa
4693	Central American Agouti	eng
4985	Cervicapra	spa
4985	Antílope negro indio	spa
4985	Sasin	eng
4985	Blackbuck	eng
4985	Antilope cervicapre	fra
4985	Cervicapre	fra
5018	Yellow Blotched Sawback	eng
5018	Yellow-blotched Map Turtle	eng
5113	Yucatan rattlesnake	eng
5113	South American rattlesnake	eng
5113	Neotropical Rattlesnake	eng
5113	Cascabel Rattlesnake	eng
5113	Durisse	fra
5113	Cascabel	eng
5113	Cascabel	fra
5113	Serpent à sonnette tropical	fra
5113	Crotale durisse	fra
5113	Cascabel	spa
5113	Cascavelle	spa
5113	Crotale des tropiques	fra
5113	Cascavelle	fra
5218	Coracine ornée	fra
5218	Pájaro-paraguas amazónico	spa
5218	Pájaros paraguas	spa
5218	toropisco amazónico	spa
5218	Paragüero ornado	spa
5218	Ornate Umbrellabird	eng
5218	Amazonian Umbrellabird	eng
5251	Albert's Curassow	eng
5251	Prince Albert's Curassow	eng
5251	Blue-knobbed Curassow	eng
5251	Hocco d’Albert	fra
5251	Hocco piguiazul	spa
5251	Hocco d'Albert	fra
5251	Hocco à bec bleu	fra
5251	Paují de pico azul	spa
5251	pavón colombiano	spa
5251	Pavón piquiazul	spa
5251	Blue-billed Curassow	eng
5264	Ouachita Map Turtle	eng
5279	Arasarí caripardo	spa
5279	Tucán tilingo	spa
5279	Tucán-Tilingo verde	spa
5279	pichí bandirrojo	spa
5279	Chestnut-eared Aracari	eng
5279	Arasarí castaño	spa
5279	arasarí fajado	spa
5279	Araçari à oreillons roux	fra
5279	Aracari à oreillons roux	fra
5279	Arasarí orejicastano	spa
5310	Hoary Redpoll	eng
5310	Arctic Redpoll	eng
5310	Sizerin blanchâtre	fra
5310	Pardillo Ártico	spa
5312	Marmota de cola larga	spa
5312	Marmote à longue queue	fra
5312	Long-tailed Marmot	eng
5347	Ménopome ou salamandre-alligator	fra
5347	Salamandra gigante americana	spa
5347	Hellbender	eng
5368	Mexican Hairy Dwarf Porcupine	eng
5368	Puercoespín enano peludo mexicano	spa
5368	Mexican Tree Porcupine	eng
5368	Porc-épic préhensile	fra
5368	puercoespín mexicano arborícola	spa
5686	Fulvous duck	eng
5686	Fulvous whistling duck	eng
5686	Fulvous Whistling-Duck	eng
5686	Pato silbón común	spa
